Year,Age,Female,Male,Total
1922,0,31303,42762.19,74065.19
1922,1,11301,12646.07,23947.07
1922,2,5192,5699.03,10891.03
1922,3,2182,2325.01,4507.01
1922,4,1443,1427.01,2870.01
1922,5,1349.59,1342.82,2692.41
1922,6,1123.56,1215.78,2339.34
1922,7,980.75,1028.37,2009.12
1922,8,816.2,908.59,1724.79
1922,9,763.9,790.46,1554.36
1922,10,748.21,734.19,1482.4
1922,11,686.67,727.76,1414.43
1922,12,769.67,697.35,1467.02
1922,13,829.19,740.01,1569.2
1922,14,910.26,854.71,1764.97
1922,15,979.69,875.51,1855.2
1922,16,1073.96,1042.72,2116.68
1922,17,1092.91,1168.36,2261.27
1922,18,1160.55,1240.44,2400.99
1922,19,1235.89,1346.99,2582.88
1922,20,1321.07,1387.05,2708.12
1922,21,1327.81,1308.97,2636.78
1922,22,1333.27,1376.86,2710.13
1922,23,1317.47,1281.69,2599.16
1922,24,1392.39,1350.45,2742.84
1922,25,1390.25,1224.14,2614.39
1922,26,1379.01,1261.68,2640.69
1922,27,1451.88,1279.99,2731.87
1922,28,1478.88,1331.13,2810.01
1922,29,1454.97,1371.07,2826.04
1922,30,1501.29,1289.21,2790.5
1922,31,1471.17,1353.24,2824.41
1922,32,1498.73,1470.52,2969.25
1922,33,1545.96,1450.11,2996.07
1922,34,1587.86,1593.95,3181.81
1922,35,1619.34,1612.36,3231.7
1922,36,1667.03,1689.54,3356.57
1922,37,1674.87,1752.75,3427.62
1922,38,1845.83,1924.04,3769.87
1922,39,1811.93,2018.35,3830.28
1922,40,1824.99,2023.87,3848.86
1922,41,1858.4,1981.2,3839.6
1922,42,2082.02,2362.45,4444.47
1922,43,1978.81,2212.66,4191.47
1922,44,1970.79,2287.84,4258.63
1922,45,2075.77,2551.86,4627.63
1922,46,2177.97,2546.41,4724.38
1922,47,2229.18,2674.39,4903.57
1922,48,2421.4,2872.78,5294.18
1922,49,2565.67,3046.62,5612.29
1922,50,2683.75,3062.26,5746.01
1922,51,2589.95,2986.17,5576.12
1922,52,2932.08,3446.75,6378.83
1922,53,2895.12,3453.99,6349.11
1922,54,3070.1,3495.89,6565.99
1922,55,2809.38,3384.14,6193.52
1922,56,3155.5,3831.54,6987.04
1922,57,3211.8,3933.78,7145.58
1922,58,3524.3,4227.84,7752.14
1922,59,3558.02,4338.77,7896.79
1922,60,3706.09,4151.27,7857.36
1922,61,3611.22,4256.39,7867.61
1922,62,4223.58,4969.86,9193.44
1922,63,4181.16,4798.68,8979.84
1922,64,4503.95,4986.85,9490.8
1922,65,4755.07,5266.07,10021.14
